ID_TEMPO,ID_TAR,ID_LUOGO_CHIAMANTE,ID_LUOGO_CHIAMATO,PREZZO,CHIAMATE
3,1,876,756,15250,48
3,1,877,757,15250,48
3,1,878,758,15250,48
3,1,879,759,15250,48
3,1,880,760,15250,48
3,1,881,761,15250,48
3,1,882,762,15250,48
3,1,883,763,15250,48
3,1,884,764,15250,48
3,1,885,765,15250,48
3,1,886,766,15250,48
3,1,887,767,15250,48
3,1,888,768,15250,48
3,1,889,769,15250,48
3,1,890,770,15250,48
3,1,891,771,15250,48
3,1,892,772,15250,48
3,1,893,773,15250,48
3,1,894,774,15250,48
3,1,895,775,15250,48
3,1,896,776,15250,48
3,1,897,777,15250,48
3,1,898,778,15250,48
3,1,899,779,15250,48
3,1,900,780,15250,48
3,1,901,781,15250,48
3,1,902,782,15250,48
3,1,903,783,15250,48
3,1,904,784,15250,48
3,1,905,785,15250,48
3,1,906,786,15250,48
3,1,907,787,15250,48
3,1,908,788,15250,48
3,1,909,789,15250,48
3,1,910,790,15250,48
3,1,911,791,15250,48
3,1,912,792,15250,48
3,1,913,793,15250,48
3,1,914,794,15250,48
3,2,865,745,52525,48
3,2,866,746,52525,48
3,2,867,747,52525,48
3,2,868,748,52525,48
3,2,869,749,52525,48
3,2,870,750,52525,48
3,2,871,751,52525,48
3,2,872,752,52525,48
3,2,873,753,52525,48
3,2,874,754,52525,48
3,2,875,755,52525,48
3,2,876,756,52525,48
3,2,877,757,52525,48
3,2,878,758,52525,48
3,2,879,759,52525,48
3,2,880,760,52525,48
3,2,881,761,52525,48
3,2,882,762,52525,48
3,2,883,763,52525,48
3,2,884,764,52525,48
3,2,885,765,52525,48
3,2,886,766,52525,48
3,2,887,767,52525,48
3,2,888,768,52525,48
3,2,889,769,52525,48
3,2,890,770,52525,48
3,2,891,771,52525,48
3,2,892,772,52525,48
3,2,893,773,52525,48
3,2,894,774,52525,48
3,2,895,775,52525,48
3,2,896,776,52525,48
3,2,897,777,52525,48
3,2,898,778,52525,48
3,2,899,779,52525,48
3,2,900,780,52525,48
3,2,901,781,52525,48
3,2,902,782,52525,48
3,2,903,783,52525,48
3,2,904,784,52525,48
3,2,905,785,52525,48
3,2,906,786,52525,48
3,2,907,787,52525,48
3,2,908,788,52525,48
3,2,909,789,52525,48
3,2,910,790,52525,48
3,2,911,791,52525,48
3,2,912,792,52525,48
3,2,913,793,52525,48
3,2,914,794,52525,48
3,3,865,745,1094070,96
3,3,550,745,18360,36
3,3,866,746,1094070,96
3,3,551,746,18360,36
3,3,867,747,1094070,96
3,3,552,747,18360,36
3,3,868,748,1094070,96
3,3,553,748,18360,36
3,3,869,749,1094070,96
3,3,554,749,18360,36
3,3,870,750,1094070,96
3,3,555,750,18360,36
3,3,871,751,1094070,96
3,3,556,751,18360,36
3,3,872,752,1094070,96
3,3,557,752,18360,36
3,3,873,753,1094070,96
3,3,558,753,18360,36
3,3,874,754,1094070,96
3,3,1137,754,18360,36
3,3,875,755,1094070,96
3,3,876,756,1094070,96
3,3,877,757,1094070,96
3,3,878,758,1094070,96
3,3,879,759,1094070,96
3,3,880,760,1094070,96
3,3,881,761,1094070,96
3,3,882,762,1094070,96
3,3,883,763,1094070,96
3,3,884,764,1094070,96
3,3,885,765,1094070,96
3,3,886,766,1094070,96
3,3,887,767,1094070,96
3,3,888,768,1094070,96
3,3,889,769,1094070,96
3,3,890,770,1094070,96
3,3,891,771,1094070,96
3,3,892,772,1094070,96
3,3,893,773,1094070,96
3,3,894,774,1094070,96
3,3,895,775,1094070,96
3,3,896,776,1094070,96
3,3,897,777,1094070,96
3,3,898,778,1094070,96
3,3,899,779,1094070,96
3,3,900,780,1094070,96
3,3,901,781,1094070,96
3,3,902,782,1094070,96
3,3,903,783,1094070,96
3,3,904,784,1094070,96
3,3,905,785,1094070,96
3,3,906,786,1094070,96
3,3,907,787,1094070,96
3,3,908,788,1094070,96
3,3,909,789,1094070,96
3,3,910,790,1094070,96
3,3,911,791,1094070,96
3,3,912,792,1094070,96
3,3,913,793,1094070,96
3,3,914,794,1094070,96
3,4,865,745,46657,48
3,4,866,746,46657,48
3,4,867,747,46657,48
3,4,868,748,46657,48
3,4,869,749,46657,48
3,4,870,750,46657,48
3,4,871,751,46657,48
3,4,872,752,46657,48
3,4,873,753,46657,48
3,4,874,754,46657,48
3,4,875,755,46657,48
3,4,876,756,46657,48
3,4,877,757,46657,48
3,4,878,758,46657,48
3,4,879,759,46657,48
3,4,880,760,46657,48
3,4,881,761,46657,48
3,4,882,762,46657,48
3,4,883,763,46657,48
3,4,884,764,46657,48
3,4,885,765,46657,48
3,4,886,766,46657,48
3,4,887,767,46657,48
3,4,888,768,46657,48
3,4,889,769,46657,48
3,4,890,770,46657,48
3,4,891,771,46657,48
3,4,892,772,46657,48
3,4,893,773,46657,48
3,4,894,774,46657,48
3,4,895,775,46657,48
3,4,896,776,46657,48
3,4,897,777,46657,48
3,4,898,778,46657,48
3,4,899,779,46657,48
3,4,900,780,46657,48
3,4,901,781,46657,48
3,4,902,782,46657,48
3,4,903,783,46657,48
3,4,904,784,46657,48
3,4,905,785,46657,48
3,4,906,786,46657,48
3,4,907,787,46657,48
3,4,908,788,46657,48
3,4,909,789,46657,48
3,4,910,790,46657,48
3,4,911,791,46657,48
3,4,912,792,46657,48
3,4,913,793,46657,48
3,4,914,794,46657,48
3,5,865,745,66130,96
3,5,866,746,66130,96
3,5,867,747,66130,96
3,5,868,748,66130,96
3,5,869,749,66130,96
3,5,870,750,66130,96
3,5,871,751,66130,96
3,5,872,752,66130,96
3,5,873,753,66130,96
